,actions
14528,9
14536,10
14544,9
14552,9
14560,9
14568,9
14576,9
14584,10
14596,15
14604,9
14612,9
14620,9
14628,10
14636,9
14644,9
14651,9
14660,10
14668,9
14676,9
14684,9
14692,9
14700,9
14708,9
14716,10
14724,9
14732,9
14740,9
14748,9
14756,9
14764,9
14772,9
14780,9
14788,9
14796,9
14804,9
14812,9
14819,9
14832,17
14840,9
14848,9
14856,9
14864,10
14872,10
14884,15
14892,9
14900,9
14908,9
14920,16
14928,9
14936,10
14944,10
14952,10
14963,15
14976,17
14984,10
14992,10
15000,9
15004,8
15012,10
15024,15
15032,9
15039,9
15052,17
15060,10
15072,15
15080,10
15088,10
15096,9
15104,9
15111,9
15124,17
15132,10
15140,9
15148,10
15156,9
15164,9
15172,9
15180,10
15188,9
15196,9
15208,15
15216,9
15224,9
15232,9
15240,9
15248,9
15256,9
15263,9
15276,17
15284,9
15292,9
15300,10
15308,9
15316,10
15328,15
15336,9
15344,9
15352,10
15360,9
15367,9
15380,16
15388,9
15396,10
15404,10
15412,10
15420,9
15428,9
15436,9
15444,9
15452,9
15464,15
15472,9
15479,10
15492,17
15500,10
15512,15
15520,9
15527,9
15540,17
15548,9
15556,9
15564,9
15572,9
15580,10
15592,15
15600,9
15608,9
15615,9
15628,16
15640,15
15648,9
15656,10
15663,9
15676,16
15684,9
15696,15
15704,10
15711,10
15728,22
15736,9
15744,9
15752,9
15760,9
15768,9
15775,9
15789,17
15796,9
15804,9
15812,9
15820,10
15828,10
15840,15
15848,9
15856,9
15864,9
15872,9
15880,9
15888,9
15895,9
15908,17
15916,9
15924,10
15936,15
15944,9
15952,9
15960,9
15968,9
15976,9
15984,9
15992,9
15999,9
16004,9
16011,9
16024,16
16032,9
16040,10
16052,15
16059,9
16073,17
16080,9
16088,10
16100,15
16108,9
16116,9
16124,9
16131,9
16144,16
16152,9
16164,15
16172,9
16180,9
16188,9
16196,9
16204,9
16212,9
16220,9
16228,9
16236,9
16244,9
16252,9
16260,9
16268,9
16276,9
16283,9
16297,18
16304,9
16312,9
16320,9
16328,10
16336,9
16344,9
16352,9
16360,9
16368,9
16376,9
16384,10
16392,10
16400,10
16408,9
16416,9
16424,9
16432,9
16440,9
16448,9
16456,9
16464,10
16472,9
16480,10
16488,9
16496,10
16504,9
16512,9
16520,9
16528,9
16536,10
16548,15
16556,9
16563,9
16576,17
16584,10
16592,9
16600,9
16612,15
16620,9
16627,9
16640,17
16648,9
16656,9
16664,10
16672,10
16680,9
16688,9
16696,9
16704,9
16712,9
16720,9
16728,9
16736,9
16744,10
16752,10
16760,10
16768,9
16776,9
16784,9
16792,9
16800,10
16812,15
16820,9
16828,9
16836,10
16844,9
16852,9
16859,9
16872,16
16880,10
16888,9
16899,15
16912,17
16924,15
16932,9
16940,9
16948,9
16956,9
16964,10
16971,9
16984,16
16996,15
17001,9
17008,9
17016,9
17024,9
17032,9
17040,9
17048,9
17056,9
17064,9
17072,9
17079,10
17092,16
17104,15
17111,9
17125,17
17132,8
17140,9
17148,9
17156,9
17164,9
17176,15
17184,9
17192,9
17200,9
17208,9
17216,9
17224,9
17232,9
17240,9
17248,9
17256,9
17263,9
17276,16
17284,9
17292,9
17300,10
17308,9
17316,9
17324,9
17332,10
17340,9
17348,9
17356,10
17364,9
17372,9
17380,9
17388,10
17396,9
17408,15
17416,9
17424,9
17432,9
17440,9
17448,9
17455,9
17468,16
17480,15
17488,9
17496,9
17504,9
17512,9
17520,9
17528,9
17536,9
17544,9
17552,10
17560,9
17569,9
17576,9
17583,10
17596,16
17604,10
17612,9
17620,9
17636,22
17648,15
17655,10
17667,16
17673,8
17680,9
17688,9
17696,9
17704,9
17712,10
17721,9
17728,9
17736,9
17748,15
17756,9
17764,9
17772,9
17780,9
17788,9
17795,9
17808,15
17816,9
17824,9
17832,9
17840,9
17848,9
17864,15
17872,9
17880,9
17888,9
17896,9
17904,9
17916,15
17924,9
17932,9
17940,9
17948,9
17956,9
17964,9
17972,9
17980,10
17988,9
18000,16
18004,9
18012,9
18020,9
18028,9
18036,9
18044,9
18051,9
18065,17
18072,9
18080,9
18092,15
18100,9
18108,9
18116,9
18124,9
18132,9
18140,9
18148,9
18156,9
18164,9
18172,9
18180,9
18188,9
18196,9
18204,9
18212,9
18219,9
18232,17
18240,10
18248,10
18256,9
18264,10
18272,9
18284,15
18292,9
18305,17
18312,8
18324,15
18331,9
18344,16
18352,9
18360,10
18372,15
18380,10
18387,9
18400,16
18408,9
18416,10
18424,9
18432,9
18440,9
18448,9
18456,9
18464,9
18472,9
18480,10
18492,16
18500,9
18508,9
18516,9
18524,9
18532,9
18540,9
18548,9
18556,9
18564,9
18572,10
18580,9
18588,9
18595,9
18608,17
18624,21
18632,10
18640,9
18648,9
18656,9
18664,9
18672,9
18680,10
18692,15
18700,9
18708,9
18715,9
18728,16
18736,9
18744,10
18752,9
18760,9
18768,10
18776,9
18784,10
18792,9
18800,9
18808,10
18816,9
18824,10
18836,15
18844,9
18851,9
18864,17
18876,16
18884,9
18891,9
18904,16
18912,10
18920,10
18928,9
18936,10
18948,15
18955,9
18968,17
18980,14
18988,9
18996,9
